Support Vector Machine: Gaussian/RBF Kernel

,, precision,recall,f1-score, support

,0.0, 0.97,0.90,0.93, 296
,1.0, 0.95,0.92,0.93, 317
,2.0, 1.00,0.99,1.00, 307
,3.0, 0.94,0.91,0.92, 295
,4.0, 0.90,0.91,0.91, 307
,5.0, 0.80,0.90,0.85, 288
,9.0, 0.89,0.93,0.91, 306
, 10.0, 0.94,0.95,0.95, 290
, 11.0, 0.95,0.93,0.94, 316

avg / total,, 0.93,0.93,0.93,2722
,
265,   0,   0,   0,   1,   5,  24,   0,   1,
   3, 291,   0,   1,  14,   5,   0,   3,   0,
   0,   0, 304,   1,   0,   0,   0,   0,   2,
   2,   0,   0, 268,   0,  19,   0,   4,   2,
   0,   8,   0,   4, 280,  13,   0,   0,   2,
   1,   6,   0,   6,   2, 259,   2,  10,   2,
   3,   0,   0,   0,   6,   6, 286,   0,   5,
   0,   1,   0,   3,   1,  10,   0, 275,   0,
   0,   0,   0,   2,   6,   5,   8,   0, 295

Accuracy:, 0.926892

ROC AUC
Class: 0, 0.977245
Class: 1, 0.970109
Class: 2, 0.999380
Class: 3, 0.964636
Class: 4, 0.946016
Class: 5, 0.896132
Class: 6, 0.942712
Class: 7, 0.967804
Class: 8, 0.972995
