Support Vector Machine: Linear Kernel

,, precision,recall,f1-score, support

,0.0, 0.94,0.92,0.93, 296
,1.0, 0.92,0.91,0.91, 317
,2.0, 1.00,1.00,1.00, 307
,3.0, 0.89,0.91,0.90, 295
,4.0, 0.89,0.89,0.89, 307
,5.0, 0.82,0.84,0.83, 288
,9.0, 0.89,0.92,0.91, 306
, 10.0, 0.92,0.90,0.91, 290
, 11.0, 0.97,0.93,0.95, 316

avg / total,, 0.92,0.91,0.92,2722
,
273,   1,   0,   0,   0,   4,  18,   0,   0,
   3, 287,   0,   1,  16,   5,   0,   5,   0,
   0,   0, 306,   0,   0,   0,   0,   0,   1,
   5,   0,   0, 269,   0,  11,   1,   6,   3,
   0,  10,   1,   4, 274,  12,   2,   1,   3,
   1,   7,   0,  11,  12, 243,   3,  10,   1,
   9,   0,   0,   0,   6,   6, 283,   0,   2,
   0,   8,   0,   9,   0,  11,   0, 262,   0,
   0,   0,   0,   7,   1,   5,  10,   0, 293

Accuracy:, 0.914769

ROC AUC
Class: 0, 0.964342
Class: 1, 0.952240
Class: 2, 0.998164
Class: 3, 0.941474
Class: 4, 0.936528
Class: 5, 0.899813
Class: 6, 0.941591
Class: 7, 0.955525
Class: 8, 0.978744
