Support Vector Machine: Linear Kernel
User, 28

,, precision,recall,f1-score, support

,0.0, 1.00,1.00,1.00, 8
,1.0, 1.00,1.00,1.00, 9
,2.0, 1.00,1.00,1.00, 9
,3.0, 0.89,0.89,0.89, 9
,4.0, 0.80,0.89,0.84, 9
,5.0, 0.89,0.89,0.89, 9
,6.0, 1.00,0.89,0.94, 9
,7.0, 1.00,1.00,1.00, 9
,8.0, 1.00,1.00,1.00, 9

avg / total, 0.95,,0.95,0.95,80
,
8, 0, 0, 0, 0, 0, 0, 0, 0,
 0, 9, 0, 0, 0, 0, 0, 0, 0,
 0, 0, 9, 0, 0, 0, 0, 0, 0,
 0, 0, 0, 8, 1, 0, 0, 0, 0,
 0, 0, 0, 1, 8, 1, 0, 0, 0,
 0, 0, 0, 0, 0, 8, 1, 0, 0,
 0, 0, 0, 0, 0, 0, 8, 0, 0,
 0, 0, 0, 0, 0, 0, 0, 9, 0,
 0, 0, 0, 0, 0, 0, 0, 0, 9

Accuracy:, 0.950000
