Support Vector Machine: Linear Kernel
User, 1

,, precision,recall,f1-score, support

,0.0, 1.00,1.00,1.00,14
,1.0, 1.00,1.00,1.00,15
,2.0, 1.00,1.00,1.00,15
,3.0, 1.00,1.00,1.00,14
,4.0, 1.00,1.00,1.00,12
,5.0, 1.00,1.00,1.00, 9
,6.0, 1.00,1.00,1.00,15
,7.0, 1.00,1.00,1.00,14
,8.0, 1.00,1.00,1.00,15

avg / total,,, 1.00,1.00,1.00, 123
,
14,  0,  0,  0,  0,  0,  0,  0,  0,
  0, 15,  0,  0,  0,  0,  0,  0,  0,
  0,  0, 15,  0,  0,  0,  0,  0,  0,
  0,  0,  0, 14,  0,  0,  0,  0,  0,
  0,  0,  0,  0, 12,  0,  0,  0,  0,
  0,  0,  0,  0,  0,  9,  0,  0,  0,
  0,  0,  0,  0,  0,  0, 15,  0,  0,
  0,  0,  0,  0,  0,  0,  0, 14,  0,
  0,  0,  0,  0,  0,  0,  0,  0, 15

Accuracy:, 1.000000
