Support Vector Machine: Linear Kernel
User, 0

,, precision,recall,f1-score, support

,0.0, 1.00,1.00,1.00,14
,1.0, 1.00,1.00,1.00,27
,2.0, 1.00,1.00,1.00,16
,3.0, 1.00,1.00,1.00,15
,4.0, 1.00,0.95,0.97,19
,5.0, 0.90,1.00,0.95, 9
,6.0, 1.00,1.00,1.00,18
,7.0, 1.00,1.00,1.00,15
,8.0, 1.00,1.00,1.00,24

avg / total,,, 0.99,0.99,0.99, 157
,
14,  0,  0,  0,  0,  0,  0,  0,  0,
  0, 27,  0,  0,  0,  0,  0,  0,  0,
  0,  0, 16,  0,  0,  0,  0,  0,  0,
  0,  0,  0, 15,  0,  0,  0,  0,  0,
  0,  0,  0,  0, 18,  0,  0,  0,  0,
  0,  0,  0,  0,  1,  9,  0,  0,  0,
  0,  0,  0,  0,  0,  0, 18,  0,  0,
  0,  0,  0,  0,  0,  0,  0, 15,  0,
  0,  0,  0,  0,  0,  0,  0,  0, 24

Accuracy:, 0.993631
