Support Vector Machine: Linear Kernel
User, 6

,, precision,recall,f1-score, support

,0.0, 1.00,1.00,1.00, 8
,1.0, 0.90,1.00,0.95, 9
,2.0, 1.00,1.00,1.00, 9
,3.0, 1.00,1.00,1.00, 6
,4.0, 1.00,1.00,1.00, 9
,5.0, 1.00,0.89,0.94, 9
,6.0, 1.00,1.00,1.00, 8
,7.0, 1.00,1.00,1.00, 9
,8.0, 1.00,1.00,1.00, 9

avg / total, 0.99,,0.99,0.99,76
,
8, 0, 0, 0, 0, 0, 0, 0, 0,
 0, 9, 0, 0, 0, 1, 0, 0, 0,
 0, 0, 9, 0, 0, 0, 0, 0, 0,
 0, 0, 0, 6, 0, 0, 0, 0, 0,
 0, 0, 0, 0, 9, 0, 0, 0, 0,
 0, 0, 0, 0, 0, 8, 0, 0, 0,
 0, 0, 0, 0, 0, 0, 8, 0, 0,
 0, 0, 0, 0, 0, 0, 0, 9, 0,
 0, 0, 0, 0, 0, 0, 0, 0, 9

Accuracy:, 0.986842
