Support Vector Machine: Gaussian/RBF Kernel
User, 0

,, precision,recall,f1-score, support

,0.0, 0.00,0.00,0.00,14
,1.0, 0.17,1.00,0.30,27
,2.0, 1.00,0.25,0.40,16
,3.0, 1.00,0.47,0.64,15
,4.0, 1.00,0.05,0.10,19
,5.0, 0.83,0.33,0.48,15
,6.0, 1.00,0.13,0.24,15
,7.0, 1.00,0.20,0.33,15
,8.0, 1.00,0.33,0.50,15
,9.0, 1.00,0.67,0.80,18
, 10.0, 1.00,0.27,0.42,15
, 11.0, 1.00,0.38,0.55,24

avg / total,, 0.81,0.38,0.40, 208
,
 0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,
 14, 27, 12,  8, 18, 10, 13, 11, 10,  6, 11, 15,
  0,  0,  4,  0,  0,  0,  0,  0,  0,  0,  0,  0,
  0,  0,  0,  7,  0,  0,  0,  0,  0,  0,  0,  0,
  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,
  0,  0,  0,  0,  0,  5,  0,  1,  0,  0,  0,  0,
  0,  0,  0,  0,  0,  0,  2,  0,  0,  0,  0,  0,
  0,  0,  0,  0,  0,  0,  0,  3,  0,  0,  0,  0,
  0,  0,  0,  0,  0,  0,  0,  0,  5,  0,  0,  0,
  0,  0,  0,  0,  0,  0,  0,  0,  0, 12,  0,  0,
  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  4,  0,
  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  9

Accuracy:, 0.379808
